,occurTime,age,occupation,isRock,occurMonth
521,19,20,3,0,7
522,18,10,3,0,7
523,17,10,4,0,7
524,9,10,2,0,8
525,17,10,3,0,8
526,7,10,2,0,8
527,11,10,4,0,9
528,13,30,4,0,9
529,8,10,2,0,9
530,8,10,2,0,10
531,7,10,2,0,10
532,10,20,3,0,2
533,23,20,3,0,11
534,6,70,4,0,6
535,10,10,4,0,9
536,19,10,3,0,2
537,15,50,4,0,5
538,15,10,2,0,9
539,6,10,2,0,9
540,17,30,4,0,10
541,0,40,4,0,12
542,8,10,2,0,4
543,8,10,4,0,4
544,8,10,2,0,6
545,10,40,4,0,6
546,16,10,4,0,7
547,16,10,2,0,8
548,17,40,4,0,8
549,22,40,4,0,10
550,10,20,4,0,10
551,16,60,4,0,9
552,12,10,1,0,3
553,18,20,4,0,5
554,3,20,4,0,4
555,14,20,3,0,4
556,9,10,3,0,5
557,6,20,3,0,5
558,12,20,3,0,11
559,17,50,4,0,8
560,7,10,2,0,4
561,17,10,1,0,12
562,16,30,4,0,4
563,18,60,4,0,11
564,7,10,2,0,12
565,13,10,2,0,2
566,7,10,2,0,9
567,18,70,4,0,12
568,11,10,2,0,7
569,15,50,4,0,6
570,8,30,4,0,1
571,18,10,2,0,1
572,9,10,1,0,2
573,18,30,4,0,2
574,20,10,2,0,4
575,19,10,2,0,5
576,16,10,2,0,6
577,6,50,4,0,7
578,18,10,2,0,7
579,8,10,2,0,7
580,16,10,2,0,7
581,17,10,1,0,8
582,7,10,2,0,9
583,20,10,4,0,9
584,14,10,2,0,10
585,17,60,4,0,11
586,15,40,4,0,8
587,20,50,4,0,10
588,9,20,4,0,8
589,18,10,2,0,1
590,18,10,2,0,8
591,8,10,2,0,9
592,8,10,2,0,11
593,8,10,2,0,12
594,18,10,2,0,7
595,0,50,4,0,9
596,17,50,4,0,12
597,18,30,4,0,12
598,18,10,1,0,2
599,18,10,2,0,3
600,9,30,4,0,4
601,12,10,2,0,5
602,19,10,2,0,9
603,5,10,2,0,9
604,15,70,4,0,11
605,13,10,2,0,3
606,0,10,2,0,3
607,0,10,2,0,3
608,21,10,4,0,5
609,19,10,1,0,5
610,16,10,2,0,7
611,7,70,4,0,10
612,16,20,4,0,12
613,9,30,4,0,9
614,20,20,4,0,6
615,21,40,4,0,4
616,18,20,4,0,12
617,15,70,4,0,1
618,14,10,2,0,7
619,18,30,4,0,8
620,9,20,4,0,9
621,20,50,4,0,1
622,8,40,4,0,4
623,18,10,2,0,9
624,12,10,4,0,4
625,18,10,1,0,5
626,23,10,1,0,3
627,16,40,4,0,4
628,10,10,1,0,8
629,5,40,4,0,12
