,occurTime,age,occupation,isRock,occurMonth,mahal
289,9,20,3,1,5,4.4575163848540384
290,20,10,2,1,1,13.562434433383952
291,19,20,3,1,2,7.835114579404014
292,9,20,4,1,2,6.463148329517077
293,16,10,2,1,3,11.129059126655273
294,17,20,3,1,4,5.049988197637294
295,19,10,2,1,4,12.012772339672676
296,17,20,4,1,4,5.183705416871945
297,16,20,4,1,5,3.8636099713675636
298,15,40,4,1,6,20.27394251665782
299,16,50,4,1,7,30.2871383241765
300,11,10,2,1,8,10.20486932078533
301,8,10,2,1,10,11.53924619109169
302,16,20,3,1,8,3.3203385373714074
303,18,20,3,1,10,5.960878324954549
304,9,40,4,1,11,20.933648283538492
305,1,20,4,1,5,12.183995617913222
306,18,20,4,1,7,5.237833942863224
307,17,10,4,1,8,10.83823293147816
308,13,10,2,1,10,10.423376624514
309,21,30,4,1,9,13.155422221757584
310,7,10,0,1,10,12.301172506464283
311,7,50,4,1,10,30.86891146827536
312,18,10,1,1,12,12.37260393630609
313,9,70,4,1,12,50.53163069439115
314,16,10,3,1,8,10.440323582378946
315,21,20,4,1,10,8.72903419722073
316,17,10,2,1,12,11.88912249485892
317,18,30,4,1,12,12.459340846069795
318,16,10,1,1,3,11.24666777280975
319,17,60,4,1,11,40.53460666654348
320,18,20,4,1,9,5.634296386953126
321,20,40,4,1,11,21.732494131464613
322,9,40,4,1,11,20.933648283538492
323,6,10,2,1,1,13.511491793502469
324,8,40,4,1,12,21.360578424303903
325,16,10,2,1,3,11.129059126655273
326,22,20,4,1,6,9.201835187057593
327,17,10,2,1,2,11.82367442391094
328,6,10,2,1,5,12.295576164293012
329,7,10,2,1,8,11.650978318408844
330,11,70,4,1,7,50.158416574548205
331,8,20,4,1,7,5.142931967013426
332,18,10,1,1,10,11.6949107222618
333,10,10,2,1,6,10.427389461016334
334,10,20,3,1,9,3.6862922519594465
335,2,10,3,1,9,14.925693783283084
336,20,50,4,1,6,30.960452423447595
337,11,30,4,1,6,10.42182285363253
338,18,30,4,1,3,12.034883181192079
339,23,50,4,1,4,31.89882081614058
340,16,10,2,1,4,10.817169349053406
341,23,20,4,1,6,10.186868327868943
342,12,20,3,1,3,4.105436336971228
343,1,20,3,1,7,11.974628158223533
344,20,10,1,1,10,12.687315233760465
345,8,10,4,1,7,11.154615982603472
346,17,40,4,1,5,20.641574080635674
347,15,10,4,1,3,10.931344090745842
348,7,10,2,1,4,11.963465762478158
349,7,10,2,1,5,11.759239292211829
350,19,10,2,1,7,11.65213655641485
351,8,20,3,1,9,5.4214130563645435
352,8,10,2,1,11,11.84522681674503
353,13,10,2,1,2,11.108789979307968
354,8,30,4,1,10,11.744770230184953
355,7,10,1,1,2,12.706128467567634
356,7,10,2,1,1,13.025318652741387
357,21,10,2,1,6,12.837995236288421
358,22,10,2,1,7,13.456144800352137
359,10,20,4,1,9,3.86745027369297
360,10,60,4,1,12,40.55268085658364
361,17,10,2,1,12,11.88912249485892
362,18,10,2,1,4,11.541584976303593
363,17,60,4,1,5,40.37478375821129
364,17,70,4,1,5,50.32044768302741
365,7,10,3,1,5,11.732353974549616
366,8,30,4,1,7,11.334638975957915
367,20,10,2,1,10,12.583178807179127
368,8,10,2,1,11,11.84522681674503
369,22,40,4,1,4,22.28030436153644
370,17,10,2,1,5,10.920845385187912
371,7,10,2,1,6,11.637650296043873
372,20,10,2,1,6,12.235832875918012
373,7,10,2,1,9,11.785605264794187
374,16,10,3,1,7,10.384852469980808
375,18,70,4,1,7,50.374163634773026
376,11,50,4,1,8,30.215449127085165
377,18,10,2,1,2,12.202368311201472
378,8,40,4,1,5,20.837176892522105
379,13,20,4,1,9,2.500543576543366
380,7,10,2,1,1,13.025318652741387
381,6,10,1,1,1,13.608526350536748
382,7,10,2,1,6,11.637650296043873
383,16,10,2,1,9,10.620128583668743
384,0,40,4,1,2,24.452693709470488
385,8,10,2,1,10,11.53924619109169
386,7,10,3,1,10,11.975980468908903
387,6,10,2,1,1,13.511491793502469
388,9,10,2,1,9,10.913181135520512
389,8,10,2,1,2,12.161933941875049
390,14,10,2,1,3,10.75448399531343
391,15,10,2,1,8,10.224158641794357
392,6,10,2,1,7,12.144611338982955
393,9,10,2,1,3,11.409046779096489
394,17,10,1,1,11,11.611529484250443
395,18,70,4,1,8,50.385628482578255
396,10,20,4,1,3,5.101568144249276
397,7,10,2,1,10,12.002320073179849
398,15,20,4,1,2,5.510297582413159
399,8,50,4,1,5,30.59758540061998
400,10,40,4,1,8,20.392414249762773
401,7,10,2,1,2,12.602147502983932
402,16,30,4,1,4,11.03614868635409
403,7,10,2,1,5,11.759239292211829
404,7,60,4,1,5,40.609580253022074
405,0,70,4,1,5,51.80224600524228
406,6,20,4,1,5,7.3445440168310885
407,6,10,2,1,5,12.295576164293012
408,7,10,2,1,5,11.759239292211829
409,22,10,2,1,7,13.456144800352137
410,16,10,2,1,9,10.620128583668743
411,16,10,2,0,11,11.164834432036665
412,12,40,4,0,6,20.18150648510046
413,17,40,4,0,9,20.64585596797883
414,11,10,2,0,5,10.306783019346136
415,15,10,2,0,6,10.187199515453987
416,18,10,2,0,6,11.183674732679345
417,19,10,2,0,6,11.669322861500515
418,19,10,2,0,7,11.633068886903835
419,19,10,2,0,7,11.633068886903835
420,7,10,2,0,7,11.58214597959429
421,20,10,2,0,10,12.565524035691968
422,19,60,4,0,12,40.88963890437466
423,19,10,2,0,3,12.276298668629895
424,9,20,4,0,7,4.135730906986986
425,8,50,4,0,9,30.60047418705124
426,16,50,4,0,5,30.340671744423997
427,18,10,1,0,3,11.926465211000467
428,20,10,2,0,5,12.33354838981853
429,19,40,4,0,5,21.11463040082912
430,16,10,1,0,5,10.693639827163203
431,14,30,4,0,12,11.419155732293927
432,18,10,2,0,12,12.247683642854238
433,18,50,4,0,4,30.685472087952526
434,18,20,4,0,11,6.603914940182577
435,16,20,4,0,5,3.8057177258647976
436,8,30,4,0,11,12.027087296576045
437,19,50,4,0,5,30.78720364797026
438,0,20,3,0,8,13.000169425348806
439,0,60,4,0,8,42.171909989142165
440,8,50,4,0,5,30.590329153939216
441,8,10,2,0,1,12.582267161490872
442,19,30,4,0,2,12.819428162796784
443,15,20,3,0,9,2.9389340861624773
444,18,30,4,0,5,11.519757373576649
